pageNumber,productName,productPrice,productSummaryDesc,productDetailedDesc,stock,sku,categories,tags,productURL
1,Bulbasaur,£63.00,"Bulbasaur can be seen napping in bright sunlight. There is a seed on its back. By soaking up the sun’s rays, the seed grows progressively larger.","Bulbasaur can be seen napping in bright sunlight. There is a seed on its back. By soaking up the sun’s rays, the seed grows progressively larger.",45 in stock,4391,"Pokemon, Seed","bulbasaur, Overgrow, Seed",https://scrapeme.live/shop/Bulbasaur/
1,Ivysaur,£87.00,"There is a bud on this Pokémon’s back. To support its weight, Ivysaur’s legs and trunk grow thick and strong. If it starts spending more time lying in the sunlight, it’s a sign that the bud will bloom into a large flower soon.","There is a bud on this Pokémon’s back. To support its weight, Ivysaur’s legs and trunk grow thick and strong. If it starts spending more time lying in the sunlight, it’s a sign that the bud will bloom into a large flower soon.",142 in stock,7227,"Pokemon, Seed","ivysaur, Overgrow, Seed",https://scrapeme.live/shop/Ivysaur/
1,Venusaur,£105.00,There is a large flower on Venusaur’s back. The flower is said to take on vivid colors if it gets plenty of nutrition and sunlight. The flower’s aroma soothes the emotions of people.,There is a large flower on Venusaur’s back. The flower is said to take on vivid colors if it gets plenty of nutrition and sunlight. The flower’s aroma soothes the emotions of people.,30 in stock,7036,"Pokemon, Seed","Overgrow, Seed, venusaur",https://scrapeme.live/shop/Venusaur/
1,Charmander,£48.00,"The flame that burns at the tip of its tail is an indication of its emotions. The flame wavers when Charmander is enjoying itself. If the Pokémon becomes enraged, the flame burns fiercely.","The flame that burns at the tip of its tail is an indication of its emotions. The flame wavers when Charmander is enjoying itself. If the Pokémon becomes enraged, the flame burns fiercely.",206 in stock,9086,"Lizard, Pokemon","Blaze, charmander, Lizard",https://scrapeme.live/shop/Charmander/
1,Charmeleon,£165.00,"Charmeleon mercilessly destroys its foes using its sharp claws. If it encounters a strong foe, it turns aggressive. In this excited state, the flame at the tip of its tail flares with a bluish white color.","Charmeleon mercilessly destroys its foes using its sharp claws. If it encounters a strong foe, it turns aggressive. In this excited state, the flame at the tip of its tail flares with a bluish white color.",284 in stock,6565,"Flame, Pokemon","Blaze, charmeleon, Flame",https://scrapeme.live/shop/Charmeleon/
1,Charizard,£156.00,"Charizard flies around the sky in search of powerful opponents. It breathes fire of such great heat that it melts anything. However, it never turns its fiery breath on any opponent weaker than itself.","Charizard flies around the sky in search of powerful opponents. It breathes fire of such great heat that it melts anything. However, it never turns its fiery breath on any opponent weaker than itself.",31 in stock,8840,"Flame, Pokemon","Blaze, Charizard, Flame",https://scrapeme.live/shop/Charizard/
1,Squirtle,£130.00,"Squirtle’s shell is not merely used for protection. The shell’s rounded shape and the grooves on its surface help minimize resistance in water, enabling this Pokémon to swim at high speeds.","Squirtle’s shell is not merely used for protection. The shell’s rounded shape and the grooves on its surface help minimize resistance in water, enabling this Pokémon to swim at high speeds.",178 in stock,6094,"Pokemon, Tiny Turtle","squirtle, Tiny Turtle, Torrent",https://scrapeme.live/shop/Squirtle/
1,Wartortle,£123.00,"Its tail is large and covered with a rich, thick fur. The tail becomes increasingly deeper in color as Wartortle ages. The scratches on its shell are evidence of this Pokémon’s toughness as a battler.","Its tail is large and covered with a rich, thick fur. The tail becomes increasingly deeper in color as Wartortle ages. The scratches on its shell are evidence of this Pokémon’s toughness as a battler.",24 in stock,9659,"Pokemon, Turtle","Torrent, Turtle, wartortle",https://scrapeme.live/shop/Wartortle/
1,Blastoise,£76.00,Blastoise has water spouts that protrude from its shell. The water spouts are very accurate. They can shoot bullets of water with enough accuracy to strike empty cans from a distance of over 160 feet.,Blastoise has water spouts that protrude from its shell. The water spouts are very accurate. They can shoot bullets of water with enough accuracy to strike empty cans from a distance of over 160 feet.,88 in stock,5212,"Pokemon, Shellfish","blastoise, Shellfish, Torrent",https://scrapeme.live/shop/Blastoise/
1,Caterpie,£73.00,"Caterpie has a voracious appetite. It can devour leaves bigger than its body right before your eyes. From its antenna, this Pokémon releases a terrifically strong odor.","Caterpie has a voracious appetite. It can devour leaves bigger than its body right before your eyes. From its antenna, this Pokémon releases a terrifically strong odor.",40 in stock,7492,"Pokemon, Worm","caterpie, Shield Dust, Worm",https://scrapeme.live/shop/Caterpie/
